_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2021_05_ITALIE_PARIS_LYON;2021;5;International;ITALIE;PARIS LYON;444;62;0;42;2.0241935483871;26;14.6733870967742;;26;30.1153846153846;7;2;69.23076923076918;11.5384615384615;3.84615384615385;15.3846153846154;0.0;0.0
2021_05_PARIS_EST_STUTTGART;2021;5;International;PARIS EST;STUTTGART;213;77;2;9;0.939555555555556;1;0.683777777777778;;1;19.2333333333333;0;0;0.0;0.0;0.0;0.0;100.0;0.0
2021_05_AVIGNON_TGV_PARIS_LYON;2021;5;National;AVIGNON TGV;PARIS LYON;166;434;28;236;3.80217569786535;45;4.25295566502463;;32;38.3229166666667;16;5;24.4444444444444;15.5555555555556;15.5555555555556;8.888888888888891;2.22222222222222;33.3333333333333
2021_05_BESANCON_FRANCHE_COMTE_TGV_PARIS_LYON;2021;5;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131;176;11;16;0.0707070707070708;3;-0.00060606060606;;1;16.65;0;0;0.0;33.3333333333333;0.0;0.0;33.3333333333333;33.3333333333333
2021_05_LA_ROCHELLE_VILLE_PARIS_MONTPARNASSE;2021;5;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;172;197;12;9;0.549009009009009;12;2.89693693693694;;7;36.3714285714286;3;1;16.6666666666667;25.0;8.33333333333333;25.0;8.33333333333333;16.6666666666667
2021_05_MARNE_LA_VALLEE_MARSEILLE_ST_CHARLES;2021;5;National;MARNE LA VALLEE;MARSEILLE ST CHARLES;212;237;28;62;3.27799043062201;23;7.85885167464115;;23;38.536231884058;9;3;26.0869565217391;13.043478260869602;4.347826086956521;0.0;0.0;56.5217391304348
2021_05_MARSEILLE_ST_CHARLES_PARIS_LYON;2021;5;National;MARSEILLE ST CHARLES;PARIS LYON;197;484;25;68;2.04579678362573;47;5.25442251461988;;47;44.7262411347518;25;10;21.2765957446809;19.1489361702128;10.6382978723404;14.8936170212766;6.382978723404251;27.6595744680851
2021_05_MARSEILLE_ST_CHARLES_TOURCOING;2021;5;National;MARSEILLE ST CHARLES;TOURCOING;294;27;9;4;5.38611111111111;6;15.0555555555556;;6;36.1666666666667;4;0;33.3333333333333;16.6666666666667;0.0;0.0;16.6666666666667;33.3333333333333
2021_05_MONTPELLIER_PARIS_LYON;2021;5;National;MONTPELLIER;PARIS LYON;208;246;15;89;3.32307132459971;32;8.18639010189228;;32;45.0078125;15;9;34.375;31.25;12.5;6.25;9.375;6.25
2021_05_PARIS_EST_METZ;2021;5;National;PARIS EST;METZ;87;229;24;14;0.635691056910569;11;1.00804878048781;;4;33.6291666666667;1;1;9.09090909090909;18.1818181818182;0.0;9.09090909090909;27.2727272727273;36.3636363636364
2021_05_PARIS_EST_REIMS;2021;5;National;PARIS EST;REIMS;46;208;25;15;0.407741347905282;10;0.947540983606558;;4;27.8625;1;0;30.0;0.0;10.0;40.0;0.0;20.0
2021_05_PARIS_LYON_CHAMBERY_CHALLES_LES_EAUX;2021;5;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;174;138;7;8;1.00966921119593;16;3.74821882951654;;9;38.112962962963;5;0;14.2857142857143;35.7142857142857;28.5714285714286;21.4285714285714;0.0;0.0
2021_05_PARIS_LYON_LYON_PART_DIEU;2021;5;National;PARIS LYON;LYON PART DIEU;120;584;32;39;0.583726557773745;42;2.94851784633999;;30;39.838888888888896;20;2;14.6341463414634;36.5853658536585;4.878048780487811;7.317073170731709;19.5121951219512;17.0731707317073
2021_05_PARIS_LYON_MARSEILLE_ST_CHARLES;2021;5;National;PARIS LYON;MARSEILLE ST CHARLES;192;503;32;41;1.2380042462845;47;7.40633404104742;;47;36.2943262411347;22;4;29.7872340425532;21.2765957446809;10.6382978723404;21.2765957446809;4.25531914893617;12.765957446808502
2021_05_PARIS_LYON_MONTPELLIER;2021;5;National;PARIS LYON;MONTPELLIER;208;242;15;18;0.439060205580029;13;1.99111600587372;;13;36.2666666666667;7;1;7.69230769230769;53.8461538461538;7.69230769230769;23.0769230769231;0.0;7.69230769230769
